danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,genre
0.39,0.649,2,-5.163,0.0345,0.172,0.0,0.216,0.144,121.161,299723,1
0.64,0.663,0,-7.516,0.0374,0.201,0.00806,0.152,0.663,132.77,140773,1
0.315,0.715,11,-8.072,0.0362,0.00125,7.97e-06,0.0942,0.497,155.925,289533,1
0.412,0.902,9,-11.6,0.405,0.0484,0.131,0.405,0.422,89.74,333893,1
0.429,0.631,4,-11.514,0.0769,7.85e-05,0.00411,0.175,0.376,162.734,168440,1
0.654,0.929,1,-5.906,0.0998,0.0468,0.0,0.0539,0.902,144.774,168840,1
0.574,0.913,6,-4.793,0.133,0.061,0.00158,0.156,0.423,115.728,208400,1
0.438,0.71,2,-12.412,0.0919,0.262,0.537,0.221,0.53,145.928,210373,1
0.504,0.911,2,-2.97,0.0738,0.00512,0.0123,0.355,0.671,106.244,179760,1
0.464,0.795,1,-9.267,0.0926,0.0493,0.00244,0.399,0.612,158.691,202267,1
0.37,0.866,6,-3.879,0.0384,0.0868,0.0,0.137,0.427,162.086,316693,1
0.553,0.362,4,-11.218,0.0263,0.0458,6.01e-06,0.075,0.158,142.352,388267,1
0.273,0.952,11,-8.762,0.0843,0.0169,0.0111,0.142,0.472,100.271,405640,1
0.547,0.931,2,-2.356,0.0615,0.000998,0.0118,0.278,0.697,118.4,261507,1
0.338,0.34,9,-12.049,0.0339,0.58,0.0032,0.116,0.197,82.433,482830,1
0.256,0.641,1,-10.283,0.0552,0.199,0.0329,0.0853,0.382,203.006,281160,1
0.466,0.833,7,-4.215,0.304,0.0266,0.0,0.0327,0.661,88.785,313573,1
0.63,0.788,5,-6.7,0.0298,0.00322,0.0237,0.0883,0.63,120.059,241080,1
0.445,0.856,9,-3.674,0.0327,0.000202,0.0101,0.367,0.486,105.872,308333,1
0.754,0.759,9,-5.218,0.302,0.153,0.000108,0.101,0.435,126.366,214667,1
0.572,0.835,0,-6.219,0.0317,0.171,0.000377,0.0702,0.795,129.981,241600,1
0.447,0.954,8,-8.069,0.0751,0.0235,0.403,0.298,0.331,123.453,272027,1
0.413,0.881,11,-5.541,0.0367,5.99e-05,0.000308,0.0805,0.364,158.066,250547,1
0.543,0.836,4,-9.11,0.0353,0.000647,0.431,0.153,0.56,105.173,515387,1
0.502,0.89,4,-5.175,0.0364,0.000147,0.0117,0.217,0.259,133.52,292880,1
0.482,0.617,4,-12.931,0.0458,0.00543,0.000146,0.284,0.718,125.697,252493,1
0.308,0.747,0,-5.434,0.037,0.0645,8.27e-05,0.431,0.278,139.454,356160,1
0.249,0.834,0,-8.21,0.0577,0.0738,9.48e-05,0.0924,0.338,118.223,547107,1
0.692,0.497,2,-7.316,0.119,0.676,0.0,0.259,0.475,81.308,122067,1
0.433,0.959,9,-4.04,0.0431,0.000917,0.0,0.028,0.365,172.984,269373,1
0.545,0.64,4,-9.937,0.224,0.00249,0.0304,0.196,0.606,80.544,230480,1
0.454,0.91,6,-7.766,0.0448,0.0866,0.0996,0.116,0.629,125.116,354520,1
0.693,0.394,0,-15.882,0.0428,0.0782,0.000694,0.247,0.721,104.114,238747,1
0.394,0.622,4,-8.258,0.0336,0.213,4.45e-05,0.0892,0.342,126.844,221427,1
0.31,0.7,9,-5.678,0.047,0.011,0.00965,0.0828,0.763,188.386,255493,1
0.592,0.767,9,-2.788,0.027,0.0021,0.00165,0.127,0.328,96.483,329733,1
0.54,0.584,7,-9.579,0.0254,0.0108,0.00296,0.253,0.244,139.261,386493,1
0.496,0.739,6,-7.193,0.0415,0.0211,0.00444,0.106,0.378,132.41,336000,1
0.733,0.794,5,-10.023,0.0307,0.0614,0.0367,0.33,0.931,148.174,348624,1
0.398,0.927,9,-4.212,0.0567,6.2e-05,0.000177,0.0575,0.311,77.106,260027,1
0.452,0.524,0,-10.108,0.0351,0.315,0.0,0.103,0.246,151.505,312360,1
0.412,0.919,5,-7.291,0.184,0.0124,0.0601,0.424,0.572,166.367,229467,1
0.262,0.777,11,-8.671,0.0632,0.0109,0.113,0.12,0.264,152.5,182733,1
0.282,0.656,8,-6.557,0.0302,0.0105,0.0,0.0892,0.242,139.352,251867,1
0.456,0.863,3,-3.551,0.0894,0.133,0.0538,0.0553,0.532,135.962,301227,1
0.42,0.746,8,-10.628,0.0467,0.0141,0.0,0.0661,0.229,111.886,170000,1
0.292,0.823,7,-6.763,0.0407,0.0117,7.79e-05,0.155,0.244,89.939,275395,1
0.295,0.584,9,-6.696,0.0345,0.000385,0.218,0.0996,0.228,117.2,271280,1
0.743,0.446,4,-7.807,0.0683,0.0039,0.118,0.337,0.278,123.596,232107,1
0.579,0.508,2,-9.484,0.027,0.00574,0.000494,0.0575,0.609,147.125,391376,1
0.53,0.36,5,-9.213,0.0328,0.619,0.000141,0.198,0.461,95.242,211667,2
0.448,0.143,11,-17.012,0.0328,0.929,0.0356,0.109,0.0873,132.829,219000,2
0.608,0.639,7,-7.205,0.0246,0.0208,5.94e-05,0.0893,0.369,96.915,268973,2
0.483,0.159,7,-13.648,0.0353,0.914,0.0,0.111,0.423,146.721,157893,2
0.386,0.205,4,-16.699,0.0366,0.653,0.0448,0.106,0.623,172.373,152613,2
0.599,0.295,3,-11.548,0.0264,0.655,0.000921,0.102,0.145,112.579,190000,2
0.597,0.271,5,-17.293,0.0394,0.766,0.0119,0.0933,0.338,76.271,203613,2
0.636,0.454,5,-16.548,0.0615,0.599,0.00343,0.304,0.806,155.547,200240,2
0.547,0.38,5,-9.521,0.0282,0.865,0.152,0.107,0.395,83.579,160926,2
0.384,0.366,7,-10.65,0.0329,0.371,9.17e-05,0.101,0.199,138.134,261370,2
0.486,0.241,4,-17.337,0.0366,0.413,3.51e-05,0.0928,0.614,106.574,301133,2
0.416,0.192,11,-12.525,0.034,0.911,1.5e-05,0.107,0.222,102.49,154200,2
0.544,0.36,4,-11.862,0.0287,0.798,0.00481,0.112,0.763,153.206,222867,2
0.48,0.542,0,-8.51,0.0348,0.345,0.000609,0.113,0.567,152.853,200560,2
0.583,0.262,9,-11.139,0.0281,0.811,0.000563,0.0993,0.332,76.028,350560,2
0.508,0.652,11,-13.102,0.0429,0.813,0.148,0.29,0.746,101.313,230518,2
0.586,0.426,4,-8.673,0.0362,0.842,0.815,0.0898,0.793,150.968,119450,2
0.649,0.238,0,-16.858,0.0371,0.425,0.0,0.126,0.711,82.17,119667,2
0.536,0.419,3,-9.122,0.0453,0.971,9.43e-05,0.151,0.571,97.322,148523,2
0.38,0.0993,2,-20.567,0.0509,0.914,2.32e-05,0.0605,0.44,174.874,165427,2
0.585,0.233,10,-15.949,0.028,0.892,0.000611,0.114,0.481,140.666,267133,2
0.552,0.485,9,-9.111,0.0332,0.517,0.106,0.164,0.51,71.548,200173,2
0.668,0.367,11,-11.002,0.0285,0.891,0.00521,0.103,0.342,110.21,161907,2
0.568,0.558,9,-8.553,0.0278,0.724,0.000331,0.116,0.287,104.991,239960,2
0.551,0.233,6,-18.251,0.0312,0.71,0.000949,0.11,0.659,89.574,165187,2
0.396,0.295,4,-15.126,0.0343,0.625,7.6e-05,0.0989,0.187,155.531,248587,2
0.642,0.427,3,-8.471,0.0402,0.871,0.0904,0.124,0.404,82.344,124001,2
0.571,0.399,4,-11.92,0.0364,0.766,0.0146,0.0926,0.612,141.932,129464,2
0.579,0.223,10,-16.828,0.0339,0.611,0.0,0.0918,0.556,77.498,279267,2
0.57,0.186,5,-10.604,0.0316,0.929,0.0,0.115,0.314,76.118,197458,2
0.606,0.349,4,-13.967,0.0319,0.764,0.306,0.112,0.156,80.071,203870,2
0.373,0.276,7,-14.945,0.0357,0.883,0.0124,0.122,0.409,79.204,212853,2
0.607,0.142,7,-23.455,0.0382,0.843,0.000197,0.121,0.305,118.867,220400,2
0.481,0.417,8,-4.9,0.0279,0.818,0.0,0.106,0.336,78.932,182640,2
0.358,0.546,0,-8.927,0.0296,0.795,0.0586,0.111,0.264,106.489,252960,2
0.64,0.253,1,-14.988,0.031,0.895,0.000101,0.122,0.191,99.099,227280,2
0.587,0.141,1,-9.386,0.0308,0.919,5.41e-06,0.103,0.505,105.38,212158,2
0.649,0.433,10,-7.826,0.0365,0.631,0.0,0.146,0.183,122.948,198382,2
0.561,0.366,9,-14.14,0.327,0.851,0.0,0.813,0.646,78.659,1116933,2
0.596,0.544,0,-11.759,0.0362,0.604,0.017,0.262,0.262,115.022,279000,2
0.421,0.661,9,-13.126,0.0433,0.414,1.16e-06,0.0962,0.554,100.965,341627,2
0.673,0.168,4,-15.333,0.0369,0.891,0.79,0.11,0.726,124.825,220493,2
0.488,0.209,10,-19.549,0.0369,0.374,5.05e-06,0.103,0.362,120.63,283493,2
0.629,0.551,7,-9.44,0.0321,0.685,2.88e-05,0.0889,0.698,81.995,233693,2
0.657,0.368,7,-9.978,0.0281,0.884,0.00293,0.109,0.522,116.221,188947,2
0.437,0.104,3,-22.533,0.0307,0.893,0.00124,0.11,0.544,101.718,196467,2
0.621,0.304,2,-16.648,0.0623,0.748,0.0,0.0684,0.573,100.548,149387,2
0.536,0.446,9,-14.98,0.029,0.833,0.0103,0.106,0.707,133.785,154627,2
0.57,0.371,3,-10.314,0.0306,0.896,0.0,0.114,0.308,94.921,173924,2
0.562,0.25,5,-11.977,0.0325,0.959,0.000836,0.107,0.595,100.804,236854,2
0.566,0.846,7,-6.904,0.035,0.000564,0.000795,0.121,0.86,160.02,221827,3
0.694,0.712,7,-3.923,0.046,0.132,0.0,0.211,0.799,98.023,201122,3
0.616,0.47,5,-6.092,0.0253,0.291,0.0,0.111,0.325,80.03,210507,3
0.836,0.544,7,-5.975,0.0943,0.0403,0.0,0.0824,0.51,97.028,217947,3
0.724,0.804,11,-4.614,0.0448,0.124,0.0,0.204,0.306,124.987,197993,3
0.647,0.585,6,-6.123,0.0512,0.00314,0.0,0.165,0.353,131.934,215672,3
0.717,0.653,1,-5.634,0.0658,0.229,0.0,0.101,0.412,106.966,207320,3
0.716,0.821,5,-3.435,0.0314,0.0558,0.0,0.0844,0.618,92.997,219547,3
0.781,0.67,3,-3.912,0.0452,0.0103,0.0,0.0761,0.595,127.99,169333,3
0.783,0.58,7,-6.548,0.0408,0.0114,2.28e-06,0.108,0.66,120.021,193400,3
0.748,0.524,8,-5.599,0.0338,0.414,0.0,0.111,0.661,95.01,244960,3
0.73,0.729,4,-3.434,0.0884,0.167,1.39e-06,0.349,0.467,113.011,221820,3
0.825,0.652,1,-3.183,0.0802,0.581,0.0,0.0931,0.931,95.977,233713,3
0.731,0.445,0,-8.418,0.0533,0.0586,1.96e-05,0.14,0.106,117.97,247160,3
0.748,0.788,1,-7.055,0.0334,0.0591,0.0,0.0863,0.884,120.076,235493,3
0.73,0.703,0,-5.672,0.0369,0.109,0.0,0.0657,0.595,138.113,192120,3
0.626,0.88,9,-2.384,0.0504,0.205,0.0,0.128,0.534,95.079,202621,3
0.737,0.802,0,-4.771,0.0878,0.468,0.0,0.0931,0.682,144.015,172325,3
0.504,0.785,8,-4.802,0.104,0.0738,0.0,0.239,0.502,173.968,210840,3
0.617,0.635,11,-6.769,0.0317,0.0498,1.44e-05,0.164,0.446,103.019,247160,3
0.762,0.7,9,-6.021,0.0694,0.00261,1.56e-05,0.153,0.608,116.073,209320,3
0.64,0.533,0,-6.596,0.0706,0.119,0.0,0.0864,0.515,99.968,220781,3
0.742,0.713,1,-5.522,0.0303,0.0205,0.0,0.059,0.879,120.032,189960,3
0.759,0.548,9,-6.049,0.029,0.0392,0.0,0.0828,0.749,116.967,190800,3
0.546,0.787,7,-4.1,0.0517,0.0101,0.00021,0.0809,0.573,79.979,231987,3
0.691,0.795,1,-4.021,0.0355,0.000812,1.02e-06,0.156,0.876,133.971,227333,3
0.758,0.557,7,-4.568,0.034,0.0117,0.0,0.0418,0.781,126.986,231840,3
0.53,0.422,5,-6.262,0.0342,0.407,0.0,0.107,0.349,119.964,221360,3
0.712,0.862,5,-4.612,0.0378,0.0525,0.0,0.093,0.809,95.051,206200,3
0.803,0.585,8,-5.861,0.0432,0.103,3.94e-06,0.0644,0.593,105.017,214480,3
0.702,0.825,6,-3.787,0.0601,0.00883,0.0,0.0674,0.915,102.977,203064,3
0.556,0.785,7,-5.842,0.133,0.122,0.0,0.468,0.825,104.978,231813,3
0.728,0.563,1,-8.053,0.134,0.621,0.0,0.179,0.352,100.017,217707,3
0.707,0.681,0,-4.325,0.0668,0.0632,5.15e-06,0.0322,0.646,117.999,200455,3
0.568,0.656,8,-5.413,0.0433,0.0211,1.37e-05,0.213,0.364,100.049,198160,3
0.838,0.705,5,-5.201,0.0449,0.0184,1.82e-05,0.102,0.583,119.953,242520,3
0.717,0.73,9,-4.729,0.0568,0.383,0.0,0.398,0.792,102.002,251173,3
0.746,0.754,1,-6.684,0.0676,0.0152,0.0,0.0486,0.746,149.882,206880,3
0.279,0.742,4,-6.46,0.0898,0.000185,0.0,0.593,0.328,189.868,231013,3
0.735,0.425,0,-6.648,0.0464,0.011,0.0,0.055,0.848,85.896,188174,3
0.672,0.855,9,-3.764,0.0397,0.021,0.0,0.323,0.646,123.056,182200,3
0.654,0.76,0,-3.669,0.045,0.0797,0.0,0.299,0.41,99.945,200787,3
0.845,0.561,1,-5.253,0.0778,0.211,3.49e-06,0.0383,0.811,109.974,200853,3
0.511,0.681,5,-5.103,0.0359,0.0843,6.73e-06,0.503,0.555,160.035,220933,3
0.699,0.713,9,-5.507,0.0594,0.04,3.11e-06,0.294,0.354,121.993,205920,3
0.603,0.615,11,-4.931,0.165,0.0799,6.72e-05,0.117,0.561,158.657,213707,3
0.613,0.857,1,-5.492,0.0366,0.0012,0.0,0.358,0.664,124.987,182000,3
0.697,0.683,1,-2.881,0.117,0.0372,0.0,0.137,0.603,96.133,186987,3
0.757,0.884,10,-5.488,0.0404,0.00795,5.87e-05,0.0973,0.398,120.012,217907,3
0.651,0.695,6,-3.218,0.0487,0.23,0.0,0.144,0.569,123.008,205347,3
0.527,0.947,4,-4.205,0.0574,0.000393,0.00372,0.075,0.206,142.008,226000,4
0.536,0.849,0,-4.702,0.0616,0.00318,0.00197,0.104,0.305,127.002,206547,4
0.402,0.912,2,-5.447,0.0442,0.00158,0.000179,0.0923,0.566,90.045,373899,4
0.477,0.859,0,-8.625,0.0387,0.000333,0.000155,0.265,0.629,91.009,280213,4
0.43,0.704,1,-8.008,0.0804,0.000155,0.00221,0.0933,0.703,118.242,315120,4
0.0752,0.637,9,-7.469,0.0352,3.31e-06,0.817,0.233,0.237,80.06,39920,4
0.322,0.932,4,-4.252,0.163,8.57e-05,0.817,0.0969,0.376,138.042,244160,4
0.575,0.881,9,-13.012,0.0357,0.000117,2.69e-05,0.147,0.699,132.127,223867,4
0.311,0.658,6,-13.529,0.0406,0.0706,0.104,0.093,0.353,151.813,314720,4
0.544,0.739,9,-7.383,0.0517,0.00392,0.000143,0.168,0.328,118.287,342600,4
0.285,0.908,4,-4.601,0.0705,0.0318,0.00909,0.311,0.669,159.756,252733,4
0.31,0.991,5,-3.769,0.316,0.000132,0.085,0.0969,0.0395,140.071,298533,4
0.128,0.991,11,-3.289,0.0582,1.11e-05,0.00362,0.219,0.53,186.124,189347,4
0.415,0.908,2,-9.701,0.0765,0.00437,0.0345,0.082,0.437,114.816,243533,4
0.366,0.956,10,-3.725,0.108,0.000293,0.00447,0.449,0.159,104.016,230127,4
0.362,0.961,2,-5.664,0.0857,0.024,9.35e-06,0.159,0.491,164.019,153840,4
0.3,0.936,2,-5.399,0.0456,0.0337,0.021,0.158,0.756,133.065,271907,4
0.248,0.988,2,-3.74,0.144,5.87e-05,0.84,0.323,0.149,115.301,311200,4
0.649,0.909,6,-6.988,0.0729,3.63e-05,0.469,0.0787,0.623,131.919,230560,4
0.419,0.878,7,-6.352,0.0553,0.000594,0.559,0.139,0.666,147.385,264800,4
0.437,0.948,4,-6.041,0.0554,0.000716,0.000261,0.146,0.361,96.72,222440,4
0.332,0.994,1,-4.336,0.137,0.000119,0.322,0.142,0.0829,106.086,291440,4
0.429,0.86,4,-7.815,0.0665,0.00145,0.0,0.245,0.56,148.987,303947,4
0.279,0.912,4,-4.608,0.126,2.67e-05,0.737,0.0672,0.479,164.185,217333,4
0.342,0.91,4,-7.748,0.0758,4.02e-05,0.000121,0.0823,0.547,140.452,166360,4
0.386,0.944,0,-4.334,0.0941,6.79e-05,0.0153,0.338,0.374,154.175,325800,4
0.313,0.882,0,-6.215,0.0355,0.0346,0.338,0.45,0.3,103.981,431093,4
0.504,0.856,7,-6.271,0.0423,0.000748,0.359,0.114,0.585,95.402,347440,4
0.481,0.981,6,-6.456,0.143,0.000148,0.0555,0.144,0.102,97.106,344360,4
0.402,0.994,8,-7.338,0.0623,3.79e-05,0.0934,0.145,0.247,104.111,199867,4
0.327,0.873,9,-10.779,0.0514,4.99e-06,0.0172,0.247,0.48,153.012,273867,4
0.48,0.859,9,-6.058,0.0409,0.000103,0.347,0.0697,0.311,128.964,259227,4
0.317,0.985,2,-4.588,0.101,0.000151,0.789,0.127,0.0483,123.008,348100,4
0.314,0.959,4,-4.657,0.0908,0.0263,0.000148,0.161,0.492,154.221,309640,4
0.324,0.925,6,-6.122,0.0883,2.57e-05,0.257,0.092,0.413,136.614,237547,4
0.379,0.808,4,-8.605,0.0684,5.23e-05,0.794,0.322,0.557,138.694,339880,4
0.435,0.987,1,-4.667,0.16,0.000195,0.0847,0.268,0.101,103.16,365827,4
0.372,0.961,9,-6.765,0.0931,1.52e-05,0.0548,0.0916,0.159,115.336,198227,4
0.197,0.956,10,-2.908,0.0663,7.61e-05,0.00992,0.261,0.209,177.018,244773,4
0.577,0.901,1,-5.981,0.0492,0.000431,3.59e-06,0.672,0.337,90.997,231387,4
0.249,0.943,0,-5.188,0.0669,0.0286,0.00401,0.162,0.458,173.671,233507,4
0.49,0.951,1,-3.777,0.0477,2.02e-05,0.0027,0.0314,0.589,106.946,269800,4
0.61,0.891,4,-5.452,0.0587,0.000805,0.0928,0.0657,0.51,139.903,246733,4
0.534,0.969,3,-3.378,0.0535,0.000359,0.564,0.269,0.598,75.005,376920,4
0.372,0.888,2,-5.88,0.0943,0.000211,0.00442,0.115,0.555,141.374,305293,4
0.568,0.981,2,-3.889,0.0887,0.00269,0.00275,0.0243,0.307,135.146,284120,4
0.268,0.974,9,-2.948,0.114,0.00067,0.00106,0.0772,0.342,182.095,477027,4
0.319,0.965,7,-4.354,0.0646,9.4e-05,0.00221,0.141,0.624,127.721,203653,4
0.166,0.948,11,-8.503,0.0631,0.00374,0.0131,0.769,0.476,177.495,506160,4
0.649,0.584,2,-10.308,0.0421,0.038,0.117,0.446,0.478,128.851,375467,4
0.873,0.495,1,-8.696,0.206,0.281,0.0,0.164,0.628,96.02,144490,5
0.852,0.705,7,-6.213,0.118,0.501,2.36e-05,0.109,0.809,105.97,165283,5
0.648,0.733,10,-5.359,0.155,0.103,0.0,0.0652,0.836,174.849,165253,5
0.901,0.697,9,-3.439,0.28,0.145,0.0,0.287,0.67,93.941,229827,5
0.801,0.91,2,-6.566,0.225,0.00239,0.000891,0.0737,0.805,87.277,278387,5
0.816,0.775,11,-3.323,0.234,0.16,0.00031,0.0543,0.527,93.431,270587,5
0.785,0.871,4,-2.692,0.265,0.144,0.0,0.309,0.315,87.248,290427,5
0.899,0.713,6,-2.752,0.366,0.255,0.0,0.0708,0.777,90.051,193467,5
0.934,0.735,1,-6.668,0.251,0.031,8.6e-06,0.107,0.768,101.368,273107,5
0.865,0.665,7,-6.289,0.073,0.0453,0.0,0.224,0.331,111.113,268827,5
0.879,0.564,10,-7.682,0.247,0.0474,9.43e-06,0.0519,0.523,93.908,282373,5
0.924,0.74,8,-1.299,0.0774,0.0827,0.0,0.163,0.621,133.974,222293,5
0.769,0.818,6,-1.385,0.192,0.263,0.0,0.0787,0.918,88.017,240800,5
0.612,0.659,6,-6.995,0.406,0.0137,0.0,0.417,0.393,99.137,136093,5
0.637,0.678,0,-3.798,0.266,0.209,0.0,0.156,0.254,84.039,250760,5
0.589,0.827,11,-2.938,0.384,0.0143,0.00151,0.14,0.386,161.978,256240,5
0.872,0.723,1,-5.968,0.247,0.0293,0.0,0.327,0.843,93.279,307773,5
0.78,0.575,9,-7.247,0.273,0.43,0.0,0.143,0.773,84.492,252747,5
0.798,0.744,7,-5.328,0.136,0.33,0.000106,0.292,0.794,82.356,260000,5
0.665,0.91,6,-4.682,0.223,0.0394,0.0,0.227,0.887,84.099,293973,5
0.487,0.729,2,-6.815,0.271,0.0538,4.07e-06,0.44,0.217,91.048,350120,5
0.489,0.692,1,-6.672,0.41,0.0322,0.00608,0.315,0.527,96.946,237707,5
0.949,0.661,5,-4.244,0.0572,0.0302,0.0,0.0454,0.76,104.504,284200,5
0.683,0.74,11,-6.041,0.0462,0.00228,0.0,0.238,0.65,129.515,281773,5
0.842,0.738,11,-5.114,0.219,0.159,5.71e-05,0.0917,0.597,85.873,272507,5
0.647,0.514,8,-10.05,0.0593,0.0655,0.0,0.398,0.386,79.975,240693,5
0.849,0.904,8,-4.78,0.138,0.0248,5.11e-05,0.0545,0.854,99.258,246533,5
0.596,0.791,11,-7.582,0.476,0.345,1.42e-05,0.136,0.399,171.919,220440,5
0.708,0.832,1,-4.964,0.318,0.02,2.8e-06,0.189,0.618,92.428,252600,5
0.908,0.621,1,-6.638,0.102,0.000282,5.39e-05,0.0958,0.421,150.011,177000,5
0.897,0.559,11,-8.268,0.379,0.155,0.000127,0.296,0.677,106.991,264400,5
0.712,0.772,10,-3.024,0.346,0.0521,4.35e-06,0.0368,0.848,84.722,249480,5
0.704,0.873,11,-4.057,0.144,0.121,5.12e-06,0.24,0.742,154.914,366880,5
0.479,0.549,11,-10.551,0.373,0.57,0.0235,0.127,0.576,180.985,252187,5
0.679,0.509,4,-7.31,0.0617,0.0856,0.0,0.438,0.534,144.29,223547,5
0.614,0.543,5,-7.178,0.374,0.00776,3.28e-05,0.383,0.485,178.422,234093,5
0.748,0.705,4,-4.547,0.485,0.204,0.0,0.246,0.483,189.891,208733,5
0.785,0.479,3,-10.247,0.362,0.0417,3.5e-05,0.334,0.727,87.691,339893,5
0.52,0.768,8,-3.489,0.359,0.0193,0.00034,0.104,0.398,79.178,296880,5
0.903,0.519,7,-10.109,0.307,0.0286,0.000894,0.328,0.596,101.561,350560,5
